Papel;Cotação;P/L;P/VP;PSR;Div.Yield;P/Ativo;P/Cap.Giro;P/EBIT;P/Ativ Circ.Liq;EV/EBIT;Mrg Ebit;Mrg. Líq.;Liq. Corr.;ROIC;ROE;Liq.2meses;Patrim. Líq;Dív.Brut/ Patrim.;Cresc. Rec.5a
PETR4;26,35;10,86;1,13;1,001;3,68%;0,356;8;3,51;-0,72;6,79;28,50%;9,74%;1,31;11,16%;10,42%;1.171.700.000,00;303.619.000.000,00;1,28;0,89%
VALE3;47,18;18,56;1,53;1,752;0,00%;0,68;21,11;4,33;-1,78;5,1;40,45%;9,35%;1,24;17,51%;8,23%;1.024.530.000,00;163.139.000.000,00;0,41;14,17%
ITUB4;37;14,22;2,88;0;6,69%;0;0;0;0;0;0,00%;0,00%;0;0,00%;20,28%;801.951.000,00;125.788.000.000,00;0;-12,34%
BBDC4;35,06;12,88;2,12;0;2,86%;0;0;0;0;0;0,00%;0,00%;0;0,00%;16,43%;686.987.000,00;133.636.000.000,00;0;20,12%
BBAS3;48,8;9,36;1,53;0;4,57%;0;0;0;0;0;0,00%;0,00%;0;0,00%;16,29%;570.776.000,00;91.686.000.000,00;0;11,40%
B3SA3;45,33;40,42;3,68;17,716;1,92%;2,323;23,59;35,55;-20,72;34,13;49,83%;43,83%;1,62;8,60%;9,12%;449.775.000,00;25.332.900.000,00;0,23;27,92%
ABEV3;20,17;27,89;5,15;6,116;1,59%;3,213;67,28;19,25;-37,52;18,68;31,77%;22,60%;1,21;22,46%;18,46%;416.191.000,00;61.625.200.000,00;0,08;4,88%
PETR3;28,87;11,9;1,24;1,096;1,04%;0,39;8,76;3,85;-0,79;7,12;28,50%;9,74%;1,31;11,16%;10,42%;379.910.000,00;303.619.000.000,00;1,28;0,89%
MGLU3;37,14;97,29;23,27;3,473;0,32%;5,813;73,11;52,58;-28,67;52,52;6,61%;3,57%;1,17;17,21%;23,92%;314.902.000,00;2.433.040.000,00;0,19;14,78%
VVAR3;8,53;-28,62;5,66;0,416;0,00%;0,49;-3,58;9,19;-1,17;11,69;4,53%;-1,45%;0,78;8,21%;-19,77%;305.358.000,00;1.958.000.000,00;2,21;6,99%
ITSA4;13,12;11,59;2,19;21,287;8,05%;1,776;29,86;384,49;-42,25;387,78;5,54%;188,87%;2,5;0,48%;18,89%;284.160.000,00;50.402.000.000,00;0,08;1,21%
IRBR3;96,85;0;0;0;3,00%;0;0;0;0;0;0,00%;0,00%;0;0,00%;0,00%;278.581.000,00;0;0;0,00%
BRDT3;27,04;9,1;3,81;0,321;9,78%;1,272;10,57;14,29;-6,44;16,22;2,25%;3,53%;1,35;10,60%;41,88%;268.781.000,00;8.266.000.000,00;0,74;7,70%
SUZB3;31,1;51,1;2,08;2,16;1,43%;0,428;4,71;11,47;-0,73;26,78;18,83%;4,21%;1,79;4,23%;4,08%;250.024.000,00;20.313.100.000,00;3,17;18,75%
JBSS3;26,8;119,61;2,71;0,393;0,01%;0,621;5,18;9,88;-1,39;16,47;3,97%;0,42%;1,65;7,56%;2,26%;230.661.000,00;27.017.300.000,00;2,08;7,33%
LREN3;50,52;38,91;9,75;4,475;1,08%;3,887;26,67;20,07;-48,32;20,5;22,30%;11,50%;1,39;23,07%;25,06%;208.590.000,00;4.112.250.000,00;0,44;11,72%
BRFS3;36,32;-5,54;4,36;1,006;0,00%;0,688;9,71;-130,69;-1,64;-203,93;-0,77%;-18,28%;1,21;-0,73%;-78,75%;186.211.000,00;6.761.780.000,00;3,2;0,61%
GOLL4;39,99;-104,63;-1,87;1,125;0,00%;0,987;-3,45;17,56;-0,83;24,88;6,41%;1,49%;0,52;7,11%;1,79%;165.833.000,00;-7.477.070.000,00;-1,02;5,91%
RENT3;45;43,8;6,31;3,548;0,74%;2,023;61,23;23,23;-4,57;26,43;15,27%;8,10%;1,16;12,37%;14,41%;164.153.000,00;5.150.580.000,00;1,33;24,77%
CSNA3;14,95;4,96;1,88;0,826;8,67%;0,401;7,86;3,76;-0,82;8,42;21,94%;17,93%;1,23;12,14%;37,87%;162.679.000,00;11.035.900.000,00;2,58;13,20%
GGBR4;13,39;11,59;0,87;0,524;3,29%;0,45;2,51;5,51;-3,01;8,51;9,51%;4,57%;2,19;9,25%;7,54%;162.026.000,00;26.365.100.000,00;0,56;0,30%
PCAR4;93,24;21,69;2,33;0,48;1,72%;0,76;-45,31;7,67;-2,46;8,13;6,25%;2,01%;0,96;15,26%;10,73%;161.657.000,00;10.728.000.000,00;0,58;-9,22%
RAIL3;22,78;101,57;4,72;5,205;0,00%;1,262;26,41;18,89;-2,13;24,02;27,55%;5,25%;1,57;7,03%;4,65%;155.535.000,00;7.524.720.000,00;1,41;17,68%
CIEL3;7,67;8,35;2,28;2,387;17,71%;0,232;3,6;7,12;-5,86;7,25;33,52%;28,60%;1,08;22,72%;27,34%;147.691.000,00;9.132.030.000,00;1;-1,42%
KROT3;13,05;18,39;1,35;3,283;2,09%;0,638;7,4;17,86;-1,77;22,45;18,38%;17,86%;2,14;3,90%;7,31%;145.441.000,00;15.952.000.000,00;0,47;8,92%
BPAC11;64,9;40,18;2,94;0;3,22%;0;0;0;0;0;0,00%;0,00%;0;0,00%;7,32%;142.629.000,00;19.394.600.000,00;0;-77,35%
GNDI3;47;59,88;9,74;3,491;0,32%;2,887;-70,46;31,7;-6,55;32,45;11,01%;5,83%;0,87;10,70%;16,26%;137.653.000,00;2.551.880.000,00;0,67;0,00%
BBSE3;34,44;0;0;0;8,19%;0;0;0;0;0;0,00%;0,00%;0;0,00%;0,00%;134.166.000,00;0;0;0,00%
CMIG4;14,5;10,41;1,38;0,91;4,10%;0,351;5,29;5,11;-1,35;8,22;17,79%;8,92%;1,17;7,27%;13,22%;130.673.000,00;15.374.900.000,00;0,92;3,37%
AZUL4;54,55;25,1;-209,47;1,837;0,00%;1,044;-10,03;16,36;-1,33;17,75;11,23%;7,32%;0,68;7,54%;-834,46%;128.495.000,00;-88.430.000,00;-34,5;19,69%
ELET3;43,35;4,01;1,03;2,568;1,89%;0,326;5,19;3,76;-0,76;6,65;68,23%;64,11%;1,34;9,36%;25,68%;127.051.000,00;56.965.200.000,00;0,97;-3,86%
UGPA3;19,38;16,46;2,25;0,238;3,25%;0,692;2,2;12,19;-3,65;18,13;1,95%;1,44%;2,76;7,74%;13,69%;123.053.000,00;9.572.320.000,00;1,75;6,12%
BRML3;14,68;12,29;1,2;10,582;7,28%;0,691;16,35;14,99;-2,23;16,98;70,58%;93,28%;1,83;5,00%;9,80%;121.388.000,00;10.641.300.000,00;0,29;-2,85%
